GenericName	SideeffectTerm	FrequencyRatingValue	
alfentanil	asthenia	4
alfentanil	movement disorder	4
alfentanil	dyskinesia	4
alfentanil	tachycardia	5
alfentanil	hypertension	5
alfentanil	vomiting	5
alfentanil	injection site pain	4
alfentanil	bradycardia	5
alfentanil	apnoea	4
alfentanil	dizziness	4
alfentanil	procedural pain	4
alfentanil	nausea	5
alfentanil	fatigue	4
alfentanil	chills	4
alfentanil	euphoric mood	4
alfentanil	hypotension	5
alfentanil	muscle rigidity	5
telithromycin	flatulence	4
telithromycin	diarrhoea	4
telithromycin	dysgeusia	4
telithromycin	vertigo	4
telithromycin	vomiting	4
telithromycin	headache	4
telithromycin	dizziness	4
telithromycin	nausea	4
telithromycin	gastrointestinal pain	4
telithromycin	dyspepsia	4
telithromycin	abdominal pain	4
telithromycin	visual impairment	4
simeprevir	asthenia	5
simeprevir	dermatitis	5
simeprevir	hepatobiliary disease	4
simeprevir	dyspnoea	5
simeprevir	insomnia	5
simeprevir	myalgia	5
simeprevir	mediastinal disorder	5
simeprevir	headache	5
simeprevir	nausea	5
simeprevir	fatigue	5
simeprevir	anaemia	5
simeprevir	rash	5
simeprevir	photosensitivity reaction	5
simeprevir	musculoskeletal discomfort	5
simeprevir	pruritus	5
pentamidine.isethionate	asthenia	5
pentamidine.isethionate	decreased appetite	5
pentamidine.isethionate	dyspnoea	5
pentamidine.isethionate	cough	5
pentamidine.isethionate	wheezing	5
pentamidine.isethionate	body temperature increased	5
pentamidine.isethionate	dizziness	5
pentamidine.isethionate	infection	5
pentamidine.isethionate	fatigue	5
penicillamine	leukopenia	4
penicillamine	dermatitis	4
penicillamine	protein urine present	4
penicillamine	thrombocytopenia	4
penicillamine	rash	4
penicillamine	proteinuria	4
lamivudine	asthenia	5
lamivudine	fungal skin infection	4
lamivudine	viral infection	4
lamivudine	paraesthesia	1
lamivudine	feeling abnormal	5
lamivudine	bronchitis	4
lamivudine	dermatitis	4
lamivudine	blood creatine phosphokinase increased	4
lamivudine	nasopharyngitis	5
lamivudine	sinusitis	4
lamivudine	flatulence	4
lamivudine	lymphadenopathy	5
lamivudine	diarrhoea	5
lamivudine	respiratory tract infection	5
lamivudine	pancreatitis	2
lamivudine	affective disorder	4
lamivudine	gastrointestinal infection	4
lamivudine	hyperlactacidaemia	4
lamivudine	folliculitis	4
lamivudine	insomnia	4
lamivudine	cough	5
lamivudine	myalgia	4
lamivudine	neutropenia	4
lamivudine	abdominal distension	4
lamivudine	aplasia pure red cell	1
lamivudine	hepatomegaly	5
lamivudine	sleep disorder	4
lamivudine	wheezing	4
lamivudine	splenomegaly	4
lamivudine	lactic acidosis	2
lamivudine	musculoskeletal pain	5
lamivudine	ill-defined disorder	5
lamivudine	hyperhidrosis	4
lamivudine	vomiting	4
lamivudine	abdominal pain upper	4
lamivudine	headache	5
lamivudine	neuropathy peripheral	5
lamivudine	body temperature increased	5
lamivudine	dizziness	4
lamivudine	thrombocytopenia	3
lamivudine	myopathy	4
lamivudine	oropharyngeal pain	5
lamivudine	respiration abnormal	4
lamivudine	dry mouth	4
lamivudine	rhinorrhoea	5
lamivudine	oropharyngeal discomfort	5
lamivudine	muscle spasms	4
lamivudine	nausea	5
lamivudine	depression	4
lamivudine	acne	4
lamivudine	respiratory disorder	4
lamivudine	discomfort	5
lamivudine	fatigue	5
lamivudine	arthralgia	4
lamivudine	chills	5
lamivudine	anaemia	4
lamivudine	alopecia	4
lamivudine	breath sounds abnormal	4
lamivudine	stomatitis	4
lamivudine	rash	4
lamivudine	malaise	5
lamivudine	abdominal pain	4
lamivudine	angioedema	2
lamivudine	mouth ulceration	4
lamivudine	musculoskeletal discomfort	4
lamivudine	inflammation	4
lamivudine	pruritus	4
atorvastatin	asthenia	4
atorvastatin	pharyngitis	4
atorvastatin	dermatitis	4
atorvastatin	nasopharyngitis	4
atorvastatin	sinusitis	4
atorvastatin	laryngeal pain	4
atorvastatin	insomnia	4
atorvastatin	myalgia	4
atorvastatin	alanine aminotransferase increased	3
atorvastatin	musculoskeletal pain	4
atorvastatin	influenza	4
atorvastatin	urinary tract infection	4
atorvastatin	pain in extremity	4
atorvastatin	muscle spasms	4
atorvastatin	gastrointestinal pain	4
atorvastatin	rash	4
atorvastatin	abdominal pain	4
atorvastatin	musculoskeletal discomfort	4
retigabine	disorientation	4
retigabine	asthenia	4
retigabine	gait disturbance	4
